admit,gre,gpa,rank
1,624,5.714,2
1,576,4.537,2
0,624,4.735,3
0,600,4.878,3
0,864,5.868,3
0,648,5.318,4
1,720,5.494,1
0,888,5.714,4
0,648,5.109,2
0,552,5.065,4
1,744,5.087,2
0,768,4.669,2
0,696,5.34,2
0,600,4.988,3
0,672,4.845,2
0,600,5.527,3
0,672,5.263,4
0,840,6,3
0,744,5.34,2
1,720,5.538,1
0,768,5.923,2
1,840,5.472,4
0,744,5.934,4
0,696,5.34,3
0,696,5.34,4
0,456,5.373,3
0,576,5.34,2
0,672,4.581,3
1,576,4.801,1
0,888,5.241,1
1,960,5.714,1
0,480,5.318,2
1,768,5.934,2
0,696,5.406,3
0,744,5.659,3
1,696,4.746,4
0,672,4.372,2
1,576,5.538,1
0,792,5.439,2
0,840,5.802,3
0,720,5.043,2
0,768,5.45,2
1,840,5.516,2
0,624,4.603,2
0,696,5.23,2
0,840,6,1
0,528,5.164,4
0,864,5.747,3
0,600,6,3
0,720,5.582,3
0,480,5.461,3
0,648,4.691,3
0,816,5.428,3
1,960,5.373,2
0,600,5.483,4
1,744,5.307,2
0,624,4.482,2
1,744,5.153,3
0,744,5.263,3
0,360,4.911,3
0,744,5.758,3
0,600,5.868,4
0,840,6,2
1,648,5.824,2
0,600,4.669,4
0,960,5.56,2
0,672,5.571,3
0,696,4.768,2
0,672,4.977,2
0,600,5.285,2
1,768,4.834,2
0,960,5.494,3
0,768,5.736,3
0,456,5.549,4
1,720,5.417,2
0,672,5.549,2
0,792,4.977,3
1,480,5.153,4
0,720,5.593,3
0,696,5.747,4
0,960,5.241,3
1,696,5.12,2
1,840,6,1
0,504,5.912,4
1,720,5.879,1
1,936,5.78,3
0,888,5.494,1
1,768,5.593,1
0,648,5.076,3
0,696,5.45,2
0,888,5.274,4
0,696,4.922,2
0,552,4.757,2
0,768,5.318,3
1,720,5.516,2
1,792,4.801,3
0,408,4.79,1
1,552,5.604,1
0,552,4.878,1
1,672,5.549,2
0,648,5.208,3
0,816,5.989,3
1,576,4.922,1
0,960,5.417,3
0,960,4.79,2
1,864,5.45,3
0,744,5.538,2
0,648,4.922,4
0,576,5.373,2
1,864,5.362,2
0,696,5.219,4
0,720,5.208,3
0,456,5.318,2
0,504,4.537,3
1,960,5.483,1
0,744,4.955,2
1,792,5.439,2
0,576,6,2
0,600,4.746,4
0,840,5.395,3
0,528,4.636,2
1,624,5.791,1
1,816,4.856,3
0,744,5.142,2
0,648,4.944,1
0,960,5.901,3
0,816,5.274,2
0,528,5.087,2
0,816,5.604,3
0,768,5.703,3
0,792,5.241,4
0,744,5.131,4
1,624,6,2
1,648,5.505,4
1,888,5.472,4
0,768,5.285,3
1,624,5.23,2
1,744,5.945,3
0,624,5.461,2
0,768,5.791,2
0,816,5.021,2
0,528,5.065,2
1,624,5.109,3
1,744,5.945,3
1,624,5.89,3
0,456,5.274,3
0,672,5.164,4
1,720,5.604,3
1,816,5.406,2
0,600,4.691,3
1,768,5.945,2
0,648,5.263,3
1,816,5.637,2
0,792,5.252,1
0,624,5.032,2
1,720,4.878,2
0,552,5.747,3
1,696,5.538,1
1,816,4.9,4
1,792,5.054,2
0,792,5.934,2
0,432,5.197,3
0,792,5.395,4
0,624,5.01,4
1,528,5.329,2
0,720,5.241,4
1,960,5.142,1
1,792,5.67,4
0,960,5.065,4
0,504,4.086,4
1,744,5.395,2
0,960,4.658,2
0,816,5.67,2
0,960,5.967,1
0,576,4.405,1
0,624,5.175,3
0,672,5.076,1
0,552,4.977,2
0,648,5.45,2
0,864,5.34,3
0,768,5.23,2
1,792,5.56,3
1,480,5.065,2
1,816,5.978,2
0,264,4.713,3
0,696,5.406,4
1,648,5.087,1
0,696,5.461,2
0,648,5.043,2
0,528,4.878,3
0,672,6,3
0,792,5.637,2
0,792,5.747,3
1,624,5.615,4
0,648,5.406,4
1,360,4.724,2
1,408,4.9,2
1,936,5.593,4
1,576,5.681,4
0,648,5.208,1
0,552,5.054,3
0,552,5.538,2
0,600,4.911,4
0,504,4.559,2
0,624,4.57,3
0,816,5.89,1
0,816,5.241,2
1,672,5.428,2
0,696,5.274,2
0,600,4.823,4
0,888,6,3
0,792,5.549,3
0,504,4.856,1
0,672,5.373,3
1,552,5.604,3
1,744,5.681,1
0,624,5.065,3
0,744,4.999,4
0,648,5.12,1
1,792,5.417,3
0,600,5.153,4
1,672,4.515,3
0,600,5.945,4
0,696,4.966,2
0,624,5.285,3
0,600,4.933,3
0,720,5.285,2
0,696,5.78,2
0,480,5.296,2
0,744,4.735,2
1,936,6,2
0,744,5.373,3
1,696,5.032,3
0,840,5.472,2
1,648,5.758,2
1,912,4.691,1
0,840,5.197,2
0,864,5.241,1
1,672,5.659,3
0,864,5.934,3
1,624,6,1
1,648,5.439,1
0,816,5.054,2
0,552,5.384,2
1,672,5.296,1
0,576,4.658,3
0,552,4.823,3
0,744,5.593,3
0,696,6,1
0,960,5.879,2
1,648,5.747,2
1,912,5.736,3
1,816,4.262,1
1,744,5.307,1
0,672,5.758,2
0,672,5.439,4
0,744,5.593,2
1,960,6,2
0,768,5.032,3
0,648,4.57,2
0,840,5.615,2
1,648,5.439,2
0,648,5.461,2
0,792,6,1
1,576,4.482,2
0,504,4.922,1
1,888,5.846,2
0,696,5.296,2
0,768,5.087,2
0,768,5.461,2
1,960,4.955,2
1,792,5.868,2
1,720,5.318,3
1,744,5.725,2
1,552,5.989,3
0,744,6,2
0,672,4.944,3
0,552,4.493,2
0,840,5.615,2
0,720,5.879,3
